id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
26028942,CHUECA Spacious duplex for 6 WIFI,37918137,Diana,Centro,Justicia,40.4237,-3.69786,Entire home/apt,117.0,2,94,2024-11-06,1.15,19,327,3,VT-9330
700456972063385144,Modern and Cozy - 2 Bedrooms 1 Bathroom - Lavapiés,476492367,Fernando,Centro,Embajadores,40.40725,-3.70042,Entire home/apt,147.0,1,78,2025-02-16,2.61,1,306,21,
41023108,"Double room, private bathroom with gym B105",107335103,Jose Alejandro,Chamberí,Gaztambide,40.43735122680664,-3.71134090423584,Private room,52.0,1,115,2025-01-17,1.82,95,325,12,
1356427355767743007,Acogedor apartamento en pleno centro de Madrid,673146285,Mar,Centro,Sol,40.4179476,-3.702760699999999,Private room,166.0,1,0,,,6,236,0,
691728308394113619,Bonito apartamento con Terraza,472471361,Mar Y Ana,Centro,Universidad,40.42387,-3.70401,Entire home/apt,79.0,3,37,2025-02-16,1.33,9,0,26,
676456804610405960,Luxury Madrid Center VIII,468295029,Alejandro,Centro,Embajadores,40.40621,-3.70351,Entire home/apt,,2,27,2023-10-11,0.89,11,0,0,VT-96605
1328377995928603729,Cápsulas de gran espacio (Solo una persona) - 2,670778750,Shuru,Tetuán,Cuatro Caminos,40.44795,-3.70085,Shared room,28.0,1,1,2025-01-26,0.75,7,163,1,
43235712,APTO CON TERRAZA CON  LIMPIEZA SEMANAL,96795800,Madrid Rental Flats,Chamberí,Almagro,40.4333,-3.69054,Entire home/apt,,28,0,,,25,0,0,
633763659113164989,Six Rooms · Family Studio,183684887,Arnaldo,Centro,Embajadores,40.41086,-3.70271,Private room,,1,17,2024-04-29,0.5,11,225,2,HM-4792
667830234957644942,Preciosa habitación en el barrio Salamanca,50080380,Rubens,Salamanca,Recoletos,40.42506,-3.68545,Private room,,7,3,2022-08-30,0.09,17,0,0,
1226727777923491767,Nuevo piso Moncloa centro,48033079,Sergio Isaac,Chamberí,Gaztambide,40.43621731397978,-3.713530438355073,Entire home/apt,102.0,1,11,2025-02-09,1.7,16,2,11,
34927870,Habitación doble privada en complejo residencial,237828105,Laura,San Blas - Canillejas,Rejas,40.44456,-3.57863,Private room,57.0,2,48,2024-11-01,0.68,1,363,10,
1283935626925580460,Acogedora habitación Quintana,218910875,Paula,Ciudad Lineal,Quintana,40.4339194617794,-3.64949736632556,Private room,45.0,1,2,2024-12-07,0.59,1,0,2,
